id,datum,open_meteo_radiation,kmi_radiation_avg,kaggle_radiation_avg
872,2022-05-21 00:00:00,221.4166666667,,250.365
873,2022-05-22 00:00:00,290.1666666667,,306.795
874,2022-05-23 00:00:00,107.5416666667,,131.13
875,2022-05-24 00:00:00,208.8333333333,,210.58
876,2022-05-25 00:00:00,185.3333333333,,255.07
877,2022-05-26 00:00:00,223,,218.57
878,2022-05-27 00:00:00,291.5,,238.63
879,2022-05-28 00:00:00,301.1666666667,,268.84
880,2022-05-29 00:00:00,169.2916666667,,164.865
881,2022-05-30 00:00:00,190.4166666667,,225.285
882,2022-05-31 00:00:00,259.9166666667,,236.99
883,2022-06-01 00:00:00,262.3333333333,,233.235
884,2022-06-02 00:00:00,275.7083333333,,341.56
885,2022-06-03 00:00:00,293.25,,237.61
886,2022-06-04 00:00:00,290.625,,285.58
887,2022-06-05 00:00:00,66.2916666667,,71.015
888,2022-06-06 00:00:00,198.125,,228.37
889,2022-06-07 00:00:00,172.4583333333,,140.94
890,2022-06-08 00:00:00,116.4583333333,,88.87
891,2022-06-09 00:00:00,259.25,,185.965
892,2022-06-10 00:00:00,216.7916666667,,183.225
893,2022-06-11 00:00:00,269.2083333333,,288.13
894,2022-06-12 00:00:00,288.25,,344.435
895,2022-06-13 00:00:00,302.0416666667,,272.795
896,2022-06-14 00:00:00,336.7083333333,,346.04
897,2022-06-15 00:00:00,327.2083333333,,333.385
898,2022-06-16 00:00:00,321.6666666667,,337.81
899,2022-06-17 00:00:00,325,,323.53
900,2022-06-18 00:00:00,305.0416666667,,305.41
901,2022-06-19 00:00:00,186.625,,209.265
902,2022-06-20 00:00:00,300.7083333333,,206.215
903,2022-06-21 00:00:00,220.5416666667,,224.615
904,2022-06-22 00:00:00,330.4583333333,,276.855
905,2022-06-23 00:00:00,297.375,,308.865
906,2022-06-24 00:00:00,200.25,,181.22
907,2022-06-25 00:00:00,156.5,,196.55
908,2022-06-26 00:00:00,219.3333333333,,144.49
909,2022-06-27 00:00:00,170.5416666667,,141.845
910,2022-06-28 00:00:00,277.7083333333,,323.71
911,2022-06-29 00:00:00,311.9583333333,,304.82
912,2022-06-30 00:00:00,171.4583333333,,165.31
913,2022-07-01 00:00:00,251.9583333333,,268.99
914,2022-07-02 00:00:00,232.7916666667,,335.115
915,2022-07-03 00:00:00,249.1666666667,,324.52
916,2022-07-04 00:00:00,263.0833333333,,327.3
917,2022-07-05 00:00:00,278.4166666667,,287.85
918,2022-07-06 00:00:00,198,,261.195
919,2022-07-07 00:00:00,140,,142.46
920,2022-07-08 00:00:00,229.6666666667,,311.865
921,2022-07-09 00:00:00,264.0416666667,,266.65
922,2022-07-10 00:00:00,239.4166666667,,198.15
923,2022-07-11 00:00:00,284.2916666667,,199.175
924,2022-07-12 00:00:00,253.9583333333,,296.43
925,2022-07-13 00:00:00,248.75,,249.265
926,2022-07-14 00:00:00,210.3333333333,,278.075
927,2022-07-15 00:00:00,233.0833333333,,304.665
928,2022-07-16 00:00:00,295.5,,278.565
929,2022-07-17 00:00:00,314.5416666667,,321.52
930,2022-07-18 00:00:00,317.5416666667,,311.485
931,2022-07-19 00:00:00,319.4583333333,,321.545
932,2022-07-20 00:00:00,203.125,,198.665
933,2022-07-21 00:00:00,114.7916666667,,92.985
934,2022-07-22 00:00:00,192.4583333333,,233.295
935,2022-07-23 00:00:00,274.625,,282.13
936,2022-07-24 00:00:00,299.8333333333,,307.775
937,2022-07-25 00:00:00,191.1666666667,,217.525
938,2022-07-26 00:00:00,156.125,,147.205
939,2022-07-27 00:00:00,216.2916666667,,270.755
940,2022-07-28 00:00:00,211.2916666667,,210.14
941,2022-07-29 00:00:00,276.25,,267.39
942,2022-07-30 00:00:00,242.6666666667,,263.84
943,2022-07-31 00:00:00,182.125,,211.16
944,2022-08-01 00:00:00,236.9166666667,,178.86
945,2022-08-02 00:00:00,253.4583333333,,247.245
946,2022-08-03 00:00:00,282.0416666667,,298.4
947,2022-08-04 00:00:00,171.5416666667,,181.68
948,2022-08-05 00:00:00,187.4583333333,,167.115
949,2022-08-06 00:00:00,233.5416666667,,289.41
950,2022-08-07 00:00:00,287.2083333333,,300.695
951,2022-08-08 00:00:00,236.3333333333,,291.585
952,2022-08-09 00:00:00,281.0833333333,,290.575
953,2022-08-10 00:00:00,280.5416666667,,288.735
954,2022-08-11 00:00:00,279.375,,287.495
955,2022-08-12 00:00:00,278.0833333333,,287
956,2022-08-13 00:00:00,279.2083333333,,287.41
957,2022-08-14 00:00:00,244.2916666667,,238.985
958,2022-08-15 00:00:00,206.9583333333,,105.155
959,2022-08-16 00:00:00,182.5833333333,,202
960,2022-08-17 00:00:00,88.7083333333,,122.5
961,2022-08-18 00:00:00,224.375,,205.025
962,2022-08-19 00:00:00,136.9166666667,,129.625
963,2022-08-20 00:00:00,216.9166666667,,198.655
964,2022-08-21 00:00:00,183.7083333333,,209.52
965,2022-08-22 00:00:00,197.2916666667,,176.96
966,2022-08-23 00:00:00,225.9166666667,,239.56
967,2022-08-24 00:00:00,222.125,,246.895
968,2022-08-25 00:00:00,191.9583333333,,227.88
969,2022-08-26 00:00:00,132.7083333333,,55.535
